Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column9,Column10,Column11,Column12,Column13,Column15,Column16,Column17,Column18
REF. 87095715-LOREA-LM ,mujer,camisetas,8,XS-S-M-L-XL-,NULL,temporada,29-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO
REF. 87095715-LOREA-LM ,mujer,camisetas,8,XS-S-M-L-XL-,NULL,temporada,29-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO
REF. 87041008-ALTON-I-LM ,mujer,cardigans,8,L-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 52%  acrílico-48%  algodón,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87000537-ALMAECO-LM ,mujer,cardigans,9,XS-S-M-L-XL-,NULL,temporada,15-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO
REF. 87000537-ALMAECO-LM ,mujer,cardigans,8,XS-S-M-L-XL-,NULL,temporada,15-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO
REF. 87000537-ALMAECO-LM ,mujer,cardigans,7,XS-S-M-L-XL-,NULL,temporada,15-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO
REF. 87000537-ALMAECO-LM ,mujer,cardigans,8,XS-S-M-L-XL-,NULL,temporada,15-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO
REF. 87010526-JENY-LM ,mujer,cardigans,8,XS-S-L-XL-,NULL,temporada,25-99 €,NULL,NULL,NULL,Composición: 62%  poliéster-16%  poliamida-16%  acrílico-6%  lana,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87000536-NIBIA-LM ,mujer,cardigans,7,S-M-L-XL-,NULL,temporada,15-99 €,NULL,NULL,NULL,Composición: 48%  viscosa-31%  poliéster-21%  poliamida,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87000536-NIBIA-LM ,mujer,cardigans,8,XS-S-M-L-XL-,NULL,temporada,15-99 €,NULL,NULL,NULL,Composición: 48%  viscosa-31%  poliéster-21%  poliamida,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87020551-TRIANGLE-LM ,mujer,cardigans,7,S-XL-,NULL,temporada,15-99 €,NULL,NULL,NULL,Composición: 72%  viscosa-28%  poliamida,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87070524-HERA-LM ,mujer,cardigans,8,S-M-L-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 50%  acrílico-44%  poliéster-5%  lana-1%  elastano,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87000542-AIRY-LM ,mujer,cardigans,7,XS-S-M-L-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 54%  acrílico-31%  poliamida-15%  lana,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87000541-NARVONA-LM ,mujer,cardigans,9,XS-S-L-XL-,NULL,temporada,15-99 €,NULL,NULL,NULL,Composición: 49%  acrílico-44%  poliéster-5%  lana-2%  elastano,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87000541-NARVONA-LM ,mujer,cardigans,7,XL-,NULL,temporada,15-99 €,NULL,NULL,NULL,Composición: 49%  acrílico-44%  poliéster-5%  lana-2%  elastano,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87000539-HEDA-LM ,mujer,cardigans,9,XS-S-L-XL-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 50%  viscosa-50%  poliamida,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87010528-SANDWI-LM ,mujer,cardigans,7,XS-S-M-L-XL-,NULL,temporada,15-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO
REF. 87090533-GRACE-LM ,mujer,cardigans,8,S-M-L-,NULL,temporada,39-99 €,NULL,NULL,NULL,Composición: 49%  viscosa-30%  poliéster-21%  poliamida,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87000544-GRACE-LM ,mujer,cardigans,8,XL-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 49%  viscosa-30%  poliéster-21%  poliamida,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87020529-MIRO-LM ,mujer,cardigans,8,XS-S-,NULL,temporada,15-99 €,NULL,NULL,NULL,Composición: 49%  viscosa-30%  tereftalato de polietileno-21%  poliamida,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87020529-MIRO-LM ,mujer,cardigans,8,S-M-,NULL,temporada,15-99 €,NULL,NULL,NULL,Composición: 49%  viscosa-30%  tereftalato de polietileno-21%  poliamida,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87010527-PICASSO-LM ,mujer,cardigans,9,XS-S-M-L-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 50%  acrílico-44%  poliéster-5%  lana-1%  elastano,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87010527-PICASSO-LM ,mujer,cardigans,7,XS-S-M-L-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 50%  acrílico-44%  poliéster-5%  lana-1%  elastano,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87010527-PICASSO-LM ,mujer,cardigans,9,M-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 50%  acrílico-44%  poliéster-5%  lana-1%  elastano,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87000534-CAMILO-LM ,mujer,cardigans,10,S-M-L-XL-,NULL,temporada,39-99 €,NULL,NULL,NULL,Composición: 49%  viscosa-30%  poliéster-21%  poliamida,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87010525-HERA-LM ,mujer,cardigans,9,XS-S-M-L-XL-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 50%  acrílico-44%  poliéster-5%  lana-1%  elastano,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87000548-MAXIME-LM ,mujer,cardigans,8,XS-S-M-L-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 100%  poliamida,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87070535-MAXIME-LM ,mujer,cardigans,7,M-L-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 100%  poliamida,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87000549-JUGLAR-LM ,mujer,cardigans,8,XS-S-XL-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 57%  acrílico-35%  poliamida-5%  lana-3%  elastano,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87000545-BERLINA-LM ,mujer,cardigans,8,XS-S-M-L-XL-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 58%  acrílico-31%  poliéster-11%  poliamida,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87070555-CANE-A-LM ,mujer,cardigans,7,M-L-,NULL,temporada,39-99 €,NULL,NULL,NULL,Composición: 88%  viscosa-12%  poliéster,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
REF. 87041009-COTO-I-LM ,mujer,cardigans,10,S-M-L-,NULL,temporada,25-99 €,NULL,NULL,NULL,Composición: 63%  acrílico-19%  poliamida-18%  lana,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87010550-PHARRELL-LM ,mujer,cardigans,8,XS-S-M-L-XL-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 47%  acrílico-45%  poliéster-6%  lana-2%  elastano,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87010550-PHARRELL-LM ,mujer,cardigans,10,XS-S-M-L-XL-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 47%  acrílico-45%  poliéster-6%  lana-2%  elastano,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87060565-COMFT-H-LM ,mujer,cardigans,7,S-M-L-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 58%  algodón-42%  poliéster,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87081028-HABITA-LM ,mujer,cardigans,9,XS-S-M-L-,NULL,temporada,39-99 €,NULL,NULL,NULL,Composición: 59%  acrílico-22%  poliamida-19%  poliéster,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87041029-BED-LM ,mujer,cardigans,9,XS-S-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 58%  acrílico-25%  poliamida-17%  poliéster,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87031029-PALMA-LM ,mujer,cardigans,8,XL-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 86%  acrílico-9%  poliamida-5%  poliéster,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87080562-CINTU-I-LM ,mujer,cardigans,8,S-,NULL,temporada,39-99 €,NULL,NULL,NULL,Composición: 67%  acrílico-33%  poliéster,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87051033-ASIA-LM ,mujer,cardigans,8,XS-L-XL-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 63%  poliamida-37%  viscosa,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87071029-GARAM-LM ,mujer,cardigans,10,XS-S-M-L-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 58%  acrílico-25%  poliamida-17%  poliéster,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87041034-DORAYAKI-LM ,mujer,cardigans,8,XS-XL-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 57%  viscosa-43%  poliamida,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87041036-NORMAN-LM ,mujer,cardigans,8,XL-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 59%  acrílico-26%  poliéster-15%  poliamida,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87041036-NORMAN-LM ,mujer,cardigans,7,XS-S-M-L-XL-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 59%  acrílico-26%  poliéster-15%  poliamida,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87071025-PICON-I-LM ,mujer,cardigans,8,XS-S-M-L-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 52%  acrílico-24%  poliéster-13%  lana-11%  poliamida,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87071025-PICON-I-LM ,mujer,cardigans,9,XS-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 44%  acrílico-25%  poliéster-20%  lana-11%  poliamida,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87051027-SHINE-I-LM ,mujer,cardigans,7,XS-S-L-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 64%  viscosa-20%  poliéster-16%  fibra  metálica,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87061033-ASIA-LM ,mujer,cardigans,10,L-XL-,NULL,temporada,39-99 €,NULL,NULL,NULL,Composición: 59%  poliamida-41%  viscosa,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87041032-BIANCO-LM ,mujer,cardigans,7,XS-L-XL-,NULL,temporada,39-99 €,NULL,NULL,NULL,Composición: 74%  algodón-19%  viscosa-7%  poliéster,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87050569-HEIDI-LM ,mujer,cardigans,8,XS-S-M-L-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 85%  acrílico-10%  poliamida-5%  poliéster,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87041031-LUPE-LM ,mujer,cardigans,9,S-M-L-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 45%  acrílico-24%  poliamida-21%  poliéster-10%  lana,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87041031-LUPE-LM ,mujer,cardigans,9,L-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 45%  acrílico-24%  poliamida-21%  poliéster-10%  lana,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87031032-SOPHIE-LM ,mujer,cardigans,9,XS-XL-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 60%  acrílico-22%  poliéster-11%  poliamida-7%  algodón,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87031031-RATZINGE-LM ,mujer,cardigans,7,XS-S-M-L-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 88%  acrílico-12%  poliamida,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87051030-MADDIE-LM ,mujer,cardigans,9,XS-L-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 58%  acrílico-25%  poliamida-17%  poliéster,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87041030-GEGANT-LM ,mujer,cardigans,9,XS-S-M-L-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 67%  acrílico-27%  poliéster-6%  poliamida,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87041030-GEGANT-LM ,mujer,cardigans,8,XS-S-M-L-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 67%  acrílico-27%  poliéster-6%  poliamida,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87041035-HEIDI-LM ,mujer,cardigans,10,XS-L-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 85%  acrílico-10%  poliamida-5%  poliéster,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87062020-GREY-I-LM ,mujer,cardigans,9,M-L-,NULL,temporada,25-99 €,NULL,NULL,NULL,Composición: 77%  acrílico-23%  poliéster,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87002022-CHALET-LM ,mujer,cardigans,8,XS-S-M-L-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 63%  acrílico-22%  poliéster-7%  poliamida-4%  alpaca-4%  lana,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87002022-CHALET-LM ,mujer,cardigans,9,XS-S-M-L-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 63%  acrílico-22%  poliéster-7%  poliamida-4%  alpaca-4%  lana,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87042021-GORETTI-LM ,mujer,cardigans,7,XS-L-XL-,NULL,temporada,15-99 €,NULL,NULL,NULL,Composición: 55%  acrílico-15%  poliéster-15%  lana-15%  poliamida,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87042021-GORETTI-LM ,mujer,cardigans,7,XS-L-XL-,NULL,temporada,15-99 €,NULL,NULL,NULL,Composición: 55%  acrílico-15%  poliéster-15%  lana-15%  poliamida,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87051510-CHALET-LM ,mujer,cardigans,7,M-L-XL-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 63%  acrílico-22%  poliéster-7%  poliamida-4%  alpaca-4%  lana,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87051510-CHALET-LM ,mujer,cardigans,8,M-L-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 63%  acrílico-22%  poliéster-7%  poliamida-4%  alpaca-4%  lana,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87148255-MONACO-LM ,mujer,cardigans,10,S-M-L-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 50%  algodón-50%  modal,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87148255-MONACO-LM ,mujer,cardigans,9,S-M-L-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 50%  algodón-50%  modal,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87014059-HELENA-LM ,mujer,cardigans,8,XS-S-M-XL-,NULL,temporada,25-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO
REF. 87094034-PIQUE8-LM ,mujer,sudaderas,7,XS-S-M-L-XL-,NULL,temporada,25-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO
REF. 87054033-MAXIME8-LM ,mujer,sudaderas,8,XS-S-M-L-XL-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 88%  poliéster-12%  viscosa,NULL,-Lavar a maquina max 40°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87050570-MARINERO-LM ,mujer,sudaderas,9,L-,NULL,temporada,25-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO
REF. 87027886-GRACE-LM ,mujer,sudaderas,7,XS-S-M-L-XL-,NULL,temporada,25-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO
REF. 87097884-LUCY-LM ,mujer,sudaderas,10,XS-S-M-L-,NULL,temporada,19-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO
REF. 87027885-AGNES-LM ,mujer,sudaderas,9,XS-S-M-L-,NULL,temporada,19-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO
REF. 87079061-IRIA-LM ,mujer,sudaderas,8,XS-S-M-L-,NULL,temporada,25-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO
REF. 87079061-IRIA-LM ,mujer,sudaderas,9,XS-S-M-L-,NULL,temporada,25-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO
REF. 87090559-ACADIA-LM ,mujer,sudaderas,7,S-M-L-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 40%  viscosa-38%  poliamida-22%  lana,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87060534-TAMMY-LM ,mujer,sudaderas,10,L-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 97%  poliéster-3%  elastano,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87090572-VERDI-LM ,mujer,sudaderas,9,S-,NULL,temporada,29-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO
REF. 87081034-MAXIME7-LM ,mujer,sudaderas,8,S-M-L-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 92%  poliéster-8%  viscosa,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87081034-MAXIME7-LM ,mujer,sudaderas,10,XS-S-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 92%  poliéster-8%  viscosa,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87050169-RIVY-I-LM ,mujer,sudaderas,11,XS-S-M-L-,NULL,temporada,25-99 €,NULL,NULL,NULL,Composición: 80%  algodón-20%  poliéster. Ribete: 96%  algodón-4%  elastano,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 150°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87031044-RIVI-A-LM ,mujer,sudaderas,11,S-M-XL-,NULL,temporada,25-99 €,NULL,NULL,NULL,Composición: 64%  algodón-36%  poliéster. Ribete: 96%  algodón-4%  elastano,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 150°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87165925-PIQUE7-LM ,mujer,sudaderas,8,S-M-L-,NULL,temporada,25-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO
REF. 87070564-CARAVELE-H-LM ,mujer,sudaderas,7,S-M-L-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 100%  algodón,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87063256-PAPIER-LM ,mujer,sudaderas,8,S-M-,NULL,temporada,29-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO
REF. 87063256-PAPIER-LM ,mujer,sudaderas,8,S-M-,NULL,temporada,29-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO
REF. 87042529-RELAX-A-LM ,mujer,sudaderas,6,XL-,NULL,temporada,25-99 €,NULL,NULL,NULL,Composición: 100%  algodón. Ribete: 96%  algodón-4%  elastano,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 150°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87042529-RELAX-A-LM ,mujer,sudaderas,8,M-XL-,NULL,temporada,25-99 €,NULL,NULL,NULL,Composición: 100%  algodón. Ribete: 96%  algodón-4%  elastano,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 150°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87054033-MAXIME8-LM ,mujer,sudaderas,9,XS-S-M-L-XL-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 88%  poliéster-12%  viscosa,NULL,-Lavar a maquina max 40°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87054033-MAXIME8-LM ,mujer,sudaderas,10,XS-S-M-XL-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 88%  poliéster-12%  viscosa,NULL,-Lavar a maquina max 40°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87094034-PIQUE8-LM ,mujer,sudaderas,9,XL-,NULL,temporada,25-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO
