Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column9,Column10,Column11,Column12,Column13,Column15,Column16,Column17,Column18
REF. 87080534-TAMMY-LM ,mujer,pantalones,8,XS-M-L-XL-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 97%  poliéster-3%  elastano. Forro bolsillo: 100%  algodón,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87020556-PUNTASNA-N-LM ,mujer,pantalones,7,XS-S-M-L-XL-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 69%  viscosa-26%  poliamida-5%  elastano,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
REF. 87040553-PUNTADEC-N-LM ,mujer,pantalones,7,XS-S-M-L-XL-,NULL,temporada,25-99 €,NULL,NULL,NULL,Composición: 69%  viscosa-26%  poliamida-5%  elastano. Laterales: 88%  poliéster-12%  poliamida,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
REF. 87051001-ESTHER-I-LM ,mujer,pantalones,8,40-,NULL,temporada,39-99 €,NULL,NULL,NULL,Composición: 89%  poliéster-11%  elastano. Recubrimiento: 100%  poliuretano,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-No planchar-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87050537-PICASSO-LM ,mujer,pantalones,9,XS-S-M-L-XL-,NULL,temporada,22-99 €,NULL,NULL,NULL,Composición: 50%  acrílico-44%  poliéster-5%  lana-1%  elastano,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87060525-LORCA-LM ,mujer,pantalones,7,XS-S-L-XL-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 49%  viscosa-31%  tereftalato de polietileno-20%  poliamida,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87091007-PILLU-H-LM ,mujer,pantalones,9,XS-S-,NULL,temporada,29-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO
REF. 87060532-MARTA-LM ,mujer,pantalones,7,S-M-L-,NULL,temporada,15-99 €,NULL,NULL,NULL,Composición: 92%  poliéster-8%  elastano,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87060532-MARTA-LM ,mujer,pantalones,7,S-M-L-,NULL,temporada,15-99 €,NULL,NULL,NULL,Composición: 92%  poliéster-8%  elastano,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87080533-MARTO-LM ,mujer,pantalones,8,XS-S-M-L-,NULL,temporada,25-99 €,NULL,NULL,NULL,Composición: 50%  viscosa-46%  poliéster-4%  elastano,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
REF. 87070533-PITILI-LM ,mujer,pantalones,8,S-XL-,NULL,temporada,12-99 €,NULL,NULL,NULL,Composición: 69%  viscosa-26%  poliamida-5%  elastano,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
REF. 87050535-CLAU-LM ,mujer,pantalones,8,S-M-L-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 42%  poliéster-40%  viscosa-18%  poliamida,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87010562-PASQ-A-LM ,mujer,pantalones,7,XS-S-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 100%  poliéster,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
REF. 87050554-ALI-A-LM ,mujer,pantalones,9,S-M-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 100%  viscosa. Recubrimiento: 100%  poliuretano,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
REF. 87051004-PITIMAT-I-LM ,mujer,pantalones,7,S-M-L-,NULL,temporada,25-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO
REF. 87051004-PITIMAT-I-LM ,mujer,pantalones,8,S-M-L-,NULL,temporada,25-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO
REF. 87080536-OLA-H-LM ,mujer,pantalones,7,S-M-L-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 78%  poliéster-22%  viscosa,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87051005-MUM-I-LM ,mujer,pantalones,5,S-M-L-,NULL,temporada,15-99 €,NULL,NULL,NULL,Composición: 93%  algodón-7%  elastano,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87010559-POCKET-LM ,mujer,pantalones,6,38-40-42-44-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 64%  poliéster-34%  viscosa-2%  elastano. Forro bolsillo: 100%  poliéster,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
